name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Steven Adams","Oklahoma City Thunder",2016-02-01,2015,2991235,1610612760,400828612,3,6,30,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Washington Wizards",0,1,0,0.00,,0.00,0.00
"Meyers Leonard","Portland Trail Blazers",2016-02-28,2015,6605,1610612757,400828767,2,5,43,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Indiana Pacers",0,1,0,0.00,,0.00,0.00
"Tristan Thompson","Cleveland Cavaliers",2016-02-01,2015,6474,1610612739,400828608,1,1,47,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Indiana Pacers",10,7,0,0.00,,0.00,0.00
"Mason Plumlee","Portland Trail Blazers",2016-02-27,2015,2488653,1610612757,400828758,3,8,13,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,0,0.00,,0.00,0.00
"Will Barton","Denver Nuggets",2016-02-01,2015,6579,1610612743,400828614,4,7,04,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Toronto Raptors",-4,-10,0,0.00,,0.00,0.00
"Josh Richardson","Miami Heat",2016-02-28,2015,2581190,1610612748,400828770,2,6,29,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.00,,0.00,0.00
"Andre Drummond","Detroit Pistons",2016-02-01,2015,6585,1610612765,400828609,3,5,28,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",0,1,0,0.00,,0.00,0.00
"Tyson Chandler","Phoenix Suns",2016-02-27,2015,984,1610612756,400828762,2,3,34,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Memphis Grizzlies",0,1,0,0.00,,0.00,0.00
"Tarik Black","Los Angeles Lakers",2016-02-02,2015,2528393,1610612747,400828621,1,1,55,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,,0.00,0.00
"Andre Drummond","Detroit Pistons",2016-02-28,2015,6585,1610612765,400828766,2,0,25,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,,0.00,0.00
"Steven Adams","Oklahoma City Thunder",2016-02-03,2015,2991235,1610612760,400828627,2,7,33,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,0,0.00,,0.00,0.00
"Nerlens Noel","Philadelphia 76ers",2016-02-28,2015,2991280,1610612755,400828768,2,1,10,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,0,0.00,,0.00,0.00
"Rudy Gobert","Utah Jazz",2016-02-01,2015,3032976,1610612762,400828615,1,8,53,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,0,0.00,,0.00,0.00
"Timofey Mozgov","Cleveland Cavaliers",2016-02-28,2015,4298,1610612739,400828764,3,4,36,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Washington Wizards",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-02-03,2015,3442,1610612746,400828632,2,2,25,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,,0.00,0.00
"Taj Gibson","Chicago Bulls",2016-02-27,2015,3986,1610612741,400828758,1,7,31,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",0,1,0,0.00,,0.00,0.00
"Kentavious CaldwellPope","Detroit Pistons",2016-02-03,2015,2581018,1610612765,400828624,2,5,50,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Boston Celtics",0,1,0,0.00,,0.00,0.00
"Aaron Gordon","Orlando Magic",2016-02-28,2015,3064290,1610612753,400828768,4,0,36,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,,0.00,0.00
"Kenneth Faried","Denver Nuggets",2016-02-03,2015,6433,1610612743,400828630,2,0,06,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Utah Jazz",0,1,0,0.00,,0.00,0.00
"JaMychal Green","Memphis Grizzlies",2016-02-27,2015,2327577,1610612763,400828762,1,5,56,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,,0.00,0.00
"Greg Monroe","Milwaukee Bucks",2016-02-01,2015,4260,1610612749,400828616,3,7,34,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,0,0.00,,0.00,0.00
"Gordon Hayward","Utah Jazz",2016-02-27,2015,4249,1610612762,400828763,2,2,10,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",0,1,0,0.00,,0.00,0.00
"Rudy Gobert","Utah Jazz",2016-02-01,2015,3032976,1610612762,400828615,4,6,24,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,0,0.00,,0.00,0.00
"Al Horford","Atlanta Hawks",2016-02-28,2015,3213,1610612737,400828765,2,6,15,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Charlotte Hornets",0,1,0,0.00,,0.00,0.00
